epoch,loss,train_pr_auc,val_pr_auc,val_macro_f1,val_illicit_recall,val_fpr,val_selected_threshold
1,0.7784388065338135,0.1071621447199107,0.16305755575557557,0.6280096308186196,0.8333333333333334,0.17525773195876287,0.5299999999999999
2,0.7510985732078552,0.13017454624847674,0.24798720943522928,0.681872178664766,0.8333333333333334,0.12371134020618557,0.5499999999999999
3,0.7269637584686279,0.16125791224887512,0.32762585782387765,0.7967105263157894,0.8333333333333334,0.05154639175257732,0.57
4,0.6736060976982117,0.20879939105002446,0.3684343434343435,0.7967105263157894,0.8333333333333334,0.05154639175257732,0.575
5,0.6691921949386597,0.2687261999724275,0.40117243867243874,0.7967105263157894,0.8333333333333334,0.05154639175257732,0.585
6,0.6218620538711548,0.35151254767298484,0.3900236702868282,0.8202443280977312,0.8333333333333334,0.041237113402061855,0.595
7,0.5978790521621704,0.44595694599073427,0.3902500426693975,0.8202443280977312,0.8333333333333334,0.041237113402061855,0.595
8,0.5665788054466248,0.5636635216261353,0.42037037037037034,0.8202443280977312,0.8333333333333334,0.041237113402061855,0.595
9,0.5534181594848633,0.6732025929014102,0.5047877145438121,0.8202443280977312,0.8333333333333334,0.041237113402061855,0.6
10,0.5577411651611328,0.7594643517203118,0.5389129389129389,0.8202443280977312,0.8333333333333334,0.041237113402061855,0.61
11,0.5238641500473022,0.8320247808682611,0.5237520128824477,0.8202443280977312,0.8333333333333334,0.041237113402061855,0.615
12,0.5238588452339172,0.8778268149066021,0.5420549581839904,0.8202443280977312,0.8333333333333334,0.041237113402061855,0.63
13,0.4678489565849304,0.9153588237213364,0.5745310245310246,0.7967105263157894,0.8333333333333334,0.05154639175257732,0.625
14,0.4955475628376007,0.9367205719341287,0.6009570494864612,0.7967105263157894,0.8333333333333334,0.05154639175257732,0.635
15,0.4781133234500885,0.9570154564967273,0.591183574879227,0.7967105263157894,0.8333333333333334,0.05154639175257732,0.6399999999999999
16,0.45731621980667114,0.968208849714558,0.6057394502516453,0.7967105263157894,0.8333333333333334,0.05154639175257732,0.6449999999999999
17,0.4576829671859741,0.9770654117771361,0.5555984555984556,0.7967105263157894,0.8333333333333334,0.05154639175257732,0.6499999999999999
18,0.4523358643054962,0.9828788281159799,0.5747474747474748,0.7967105263157894,0.8333333333333334,0.05154639175257732,0.6599999999999999
19,0.4123329818248749,0.9857538519486306,0.5777777777777777,0.775599128540305,0.8333333333333334,0.061855670103092786,0.6549999999999999
20,0.416424036026001,0.9875794221582681,0.5753302253302253,0.775599128540305,0.8333333333333334,0.061855670103092786,0.6599999999999999
21,0.41785162687301636,0.9903257890141801,0.5768686868686869,0.775599128540305,0.8333333333333334,0.061855670103092786,0.6649999999999999
22,0.38774755597114563,0.9917663708000316,0.5768686868686869,0.775599128540305,0.8333333333333334,0.061855670103092786,0.6699999999999999
23,0.4086947739124298,0.9927068904236759,0.5740338164251207,0.8230240549828178,0.6666666666666666,0.020618556701030927,0.735
24,0.37833768129348755,0.9941381209328068,0.5781746031746031,0.8230240549828178,0.6666666666666666,0.020618556701030927,0.735
25,0.38283488154411316,0.9935596086592573,0.5781746031746031,0.8230240549828178,0.6666666666666666,0.020618556701030927,0.735
26,0.36862632632255554,0.9950936507953345,0.5781746031746031,0.8230240549828178,0.6666666666666666,0.020618556701030927,0.735
27,0.362906277179718,0.995641344649919,0.5895002658160553,0.775599128540305,0.8333333333333334,0.061855670103092786,0.6799999999999999
28,0.3586865961551666,0.9962304633769061,0.5831871345029239,0.8230240549828178,0.6666666666666666,0.020618556701030927,0.7449999999999999
