feature_mode,model,pr_auc,macro_f1,illicit_recall,precision,roc_auc,false_positive_rate,support_licit,support_illicit,selected_threshold,fpr_reduction_vs_baseline
all_features,xgboost,0.9809782608695652,0.9824625170377101,0.9375,1.0,0.9975282485875706,0.0,177,16,0.5,0.0
all_features,gcn,0.7998514251271605,0.8037155061360093,0.875,0.5185185185185185,0.972457627118644,0.07344632768361582,177,16,0.635,0.0
all_features,graphsage,0.8252409916472416,0.884024379775088,0.8125,0.7647058823529411,0.9706920903954803,0.022598870056497175,177,16,0.6799999999999999,0.0
all_features,gat,0.6767416815667812,0.7691387559808612,0.8125,0.4642857142857143,0.9081920903954802,0.0847457627118644,177,16,0.71,0.0
local_only_94,xgboost,0.9680765086206897,0.9080952380952381,0.9375,0.75,0.9950564971751412,0.02824858757062147,177,16,0.05,0.0
local_only_94,gcn,0.6695260431758912,0.7175885279484928,0.8125,0.37142857142857144,0.949505649717514,0.12429378531073447,177,16,0.5599999999999999,-3.4
local_only_94,graphsage,0.8675599729450472,0.7620808678500987,0.875,0.4375,0.9721045197740114,0.1016949152542373,177,16,0.5099999999999999,-2.6
local_only_94,gat,0.7653022781312255,0.8056996824905134,0.75,0.5714285714285714,0.9417372881355932,0.05084745762711865,177,16,0.6449999999999999,-0.8000000000000002
