epoch,loss,train_pr_auc,val_pr_auc,val_macro_f1,val_illicit_recall,val_fpr,val_selected_threshold
1,0.7810040712356567,0.09516264407441298,0.12767519314414383,0.35952515545505936,0.5,0.5360824742268041,0.37499999999999994
2,0.6811657547950745,0.13262826871785643,0.16408907974441955,0.44021739130434784,0.5,0.38144329896907214,0.39499999999999996
3,0.6364907622337341,0.1902545878857973,0.275393900964577,0.4562705093451277,0.5,0.35051546391752575,0.4149999999999999
4,0.613549530506134,0.2948957082754363,0.30448052404024595,0.5524518932340161,0.5,0.18556701030927836,0.43499999999999994
5,0.5756681561470032,0.41676204260103794,0.3171020173004203,0.5839866951770016,0.5,0.14432989690721648,0.4549999999999999
6,0.5003705620765686,0.5964935556604098,0.3493277176519397,0.6611842105263157,0.5,0.07216494845360824,0.4699999999999999
7,0.47114965319633484,0.7144341861200905,0.395614390334447,0.7345360824742269,0.5,0.030927835051546393,0.49499999999999994
8,0.44605162739753723,0.8285931741961543,0.4328657980556715,0.7599067599067599,0.5,0.020618556701030927,0.5049999999999999
9,0.43145522475242615,0.9072121818671566,0.5021053403755869,0.7599067599067599,0.5,0.020618556701030927,0.5149999999999999
10,0.4296674430370331,0.9475571784612381,0.5491842769803296,0.7897959183673469,0.5,0.010309278350515464,0.5299999999999999
11,0.3779241144657135,0.9723201157792927,0.6172413793103447,0.8257191201353637,0.5,0.0,0.5599999999999999
12,0.3841823935508728,0.9824412810701078,0.6494708994708994,0.79473893981666,0.6666666666666666,0.030927835051546393,0.5199999999999999
13,0.3439464867115021,0.9926145184583556,0.6549206349206349,0.8230240549828178,0.6666666666666666,0.020618556701030927,0.5349999999999999
14,0.33449962735176086,0.9979169920843765,0.7152875175315567,0.8948979591836734,0.6666666666666666,0.0,0.5599999999999999
15,0.3034462630748749,0.9991080277327269,0.7278985507246376,0.8948979591836734,0.6666666666666666,0.0,0.57
16,0.308081716299057,0.999410508071505,0.7333762333762334,0.8948979591836734,0.6666666666666666,0.0,0.58
17,0.28052711486816406,1.0,0.7375533428165006,0.8948979591836734,0.6666666666666666,0.0,0.59
