epoch,loss,train_pr_auc,val_pr_auc,val_macro_f1,val_illicit_recall,val_fpr,val_selected_threshold
1,0.3144669234752655,0.315860388323226,0.060052706551700155,0.3711843711843712,0.6666666666666666,0.5463917525773195,0.5349999999999999
2,0.265088826417923,0.5855353789621952,0.07530908319154589,0.4340659340659341,0.6666666666666666,0.4329896907216495,0.57
3,0.1983131319284439,0.8184881014873454,0.09614823348694317,0.5097497313066175,0.6666666666666666,0.29896907216494845,0.595
4,0.1536439061164856,0.9446234450550763,0.11772244318828169,0.5489577859520056,0.6666666666666666,0.23711340206185566,0.605
5,0.11920773983001709,0.9881842198863002,0.1354403801654441,0.5046145846873782,1.0,0.38144329896907214,0.575
6,0.09188146144151688,0.9994252873563219,0.16540986790986795,0.5656626506024096,1.0,0.28865979381443296,0.59
7,0.07962493598461151,1.0,0.21322751322751324,0.6211245401996848,1.0,0.21649484536082475,0.605
8,0.06595951318740845,1.0,0.2441073419334289,0.6300287356321839,1.0,0.20618556701030927,0.605
9,0.04773135855793953,1.0,0.30593434343434345,0.63926267281106,1.0,0.1958762886597938,0.605
10,0.03908928111195564,1.0,0.36432203697649923,0.6588739528540815,1.0,0.17525773195876287,0.605
11,0.03832748159766197,1.0,0.4151713825626869,0.7231182795698925,0.8333333333333334,0.09278350515463918,0.6399999999999999
12,0.028206726536154747,1.0,0.4873348873348873,0.7231182795698925,0.8333333333333334,0.09278350515463918,0.635
13,0.021968455985188484,1.0,0.5222222222222223,0.7390937236138475,0.8333333333333334,0.08247422680412371,0.6399999999999999
14,0.017256176099181175,1.0,0.5430716943874838,0.7565011820330969,0.8333333333333334,0.07216494845360824,0.6549999999999999
15,0.01633874885737896,1.0,0.5492636448518802,0.7308149204086481,1.0,0.1134020618556701,0.595
16,0.015901800245046616,1.0,0.565136660724896,0.7308149204086481,1.0,0.1134020618556701,0.59
17,0.01402951218187809,1.0,0.6484699940582294,0.7308149204086481,1.0,0.1134020618556701,0.59
18,0.010527104139328003,1.0,0.6743686868686868,0.855944055944056,0.6666666666666666,0.010309278350515464,0.725
19,0.010071241296827793,1.0,0.7416666666666666,0.855944055944056,0.6666666666666666,0.010309278350515464,0.72
20,0.01213042438030243,1.0,0.7464285714285713,0.778494623655914,1.0,0.08247422680412371,0.595
21,0.006819006521254778,1.0,0.7464285714285713,0.778494623655914,1.0,0.08247422680412371,0.585
22,0.009013212285935879,1.0,0.7519230769230769,0.7970728961441036,1.0,0.07216494845360824,0.595
23,0.006761005148291588,1.0,0.7519230769230769,0.7970728961441036,1.0,0.07216494845360824,0.595
24,0.006199805065989494,1.0,0.7935897435897435,0.7970728961441036,1.0,0.07216494845360824,0.59
25,0.008180450648069382,1.0,0.7935897435897435,0.7970728961441036,1.0,0.07216494845360824,0.59
26,0.005218864418566227,1.0,0.8028490028490028,0.7970728961441036,1.0,0.07216494845360824,0.585
27,0.004508581478148699,1.0,0.8028490028490028,0.7970728961441036,1.0,0.07216494845360824,0.585
28,0.0036278963088989258,1.0,0.8028490028490028,0.7970728961441036,1.0,0.07216494845360824,0.58
29,0.005373089108616114,1.0,0.8028490028490028,0.7970728961441036,1.0,0.07216494845360824,0.58
30,0.00503713171929121,1.0,0.8144230769230769,0.7970728961441036,1.0,0.07216494845360824,0.58
31,0.005724622868001461,1.0,0.8144230769230769,0.7970728961441036,1.0,0.07216494845360824,0.58
32,0.0033644861541688442,1.0,0.8293040293040292,0.7970728961441036,1.0,0.07216494845360824,0.575
33,0.00320126349106431,1.0,0.8293040293040292,0.7970728961441036,1.0,0.07216494845360824,0.575
34,0.0030713980086147785,1.0,0.8293040293040292,0.7970728961441036,1.0,0.07216494845360824,0.575
35,0.0030225084628909826,1.0,0.8293040293040292,0.7970728961441036,1.0,0.07216494845360824,0.575
36,0.003425564616918564,1.0,0.8293040293040292,0.7970728961441036,1.0,0.07216494845360824,0.57
37,0.0028768987394869328,1.0,0.8293040293040292,0.7970728961441036,1.0,0.07216494845360824,0.57
38,0.004200037103146315,1.0,0.8293040293040292,0.7970728961441036,1.0,0.07216494845360824,0.57
39,0.0036465968005359173,1.0,0.8144230769230769,0.7970728961441036,1.0,0.07216494845360824,0.565
40,0.0034342927392572165,1.0,0.8144230769230769,0.7970728961441036,1.0,0.07216494845360824,0.565
41,0.004097598604857922,1.0,0.8208333333333333,0.7970728961441036,1.0,0.07216494845360824,0.565
42,0.003395654493942857,1.0,0.8357142857142856,0.7970728961441036,1.0,0.07216494845360824,0.565
43,0.004270914476364851,1.0,0.8357142857142856,0.7970728961441036,1.0,0.07216494845360824,0.565
44,0.0030629257671535015,1.0,0.8357142857142856,0.7970728961441036,1.0,0.07216494845360824,0.5599999999999999
45,0.0035147108137607574,1.0,0.8357142857142856,0.876843363889996,0.8333333333333334,0.020618556701030927,0.6799999999999999
46,0.002464017830789089,1.0,0.8357142857142856,0.876843363889996,0.8333333333333334,0.020618556701030927,0.6799999999999999
47,0.002418144140392542,1.0,0.8357142857142856,0.876843363889996,0.8333333333333334,0.020618556701030927,0.6799999999999999
48,0.0024675719905644655,1.0,0.8357142857142856,0.876843363889996,0.8333333333333334,0.020618556701030927,0.6799999999999999
49,0.002612810116261244,1.0,0.8357142857142856,0.876843363889996,0.8333333333333334,0.020618556701030927,0.6799999999999999
