epoch,loss,train_pr_auc,val_pr_auc,val_macro_f1,val_illicit_recall,val_fpr,val_selected_threshold
1,0.7848194241523743,0.09483034229458673,0.14872823860727086,0.441830969676006,1.0,0.4845360824742268,0.44499999999999995
2,0.7637767791748047,0.11244669313621593,0.26745741750689794,0.47922061906523616,1.0,0.422680412371134,0.4549999999999999
3,0.7497736215591431,0.13491715138511773,0.2777438131665515,0.4855144855144855,1.0,0.41237113402061853,0.4649999999999999
4,0.6942066550254822,0.16506919305396328,0.2964549067490244,0.5308488612836438,1.0,0.3402061855670103,0.4799999999999999
5,0.6827382445335388,0.2117351297433087,0.30852501256913023,0.5584626755358463,1.0,0.29896907216494845,0.48999999999999994
6,0.6636655330657959,0.26844246003414035,0.32699687088274043,0.5730078304928604,1.0,0.27835051546391754,0.5
7,0.5799190998077393,0.33320099761490013,0.34928525016244316,0.5881976651207421,1.0,0.25773195876288657,0.5099999999999999
8,0.6340963244438171,0.4179775415268881,0.3561253561253561,0.5881976651207421,1.0,0.25773195876288657,0.5099999999999999
9,0.5269092917442322,0.49327597278737967,0.39136008918617615,0.63926267281106,1.0,0.1958762886597938,0.5249999999999999
10,0.5578620433807373,0.5787141782590248,0.4417874396135265,0.6488636363636364,1.0,0.18556701030927836,0.5299999999999999
11,0.5333433151245117,0.6461425344579675,0.5083694083694084,0.6693418940609952,1.0,0.16494845360824742,0.5399999999999999
12,0.5036112666130066,0.7022869289376413,0.5384920634920635,0.68032278088144,1.0,0.15463917525773196,0.5449999999999999
13,0.48714590072631836,0.761373754616937,0.5525898078529657,0.68032278088144,1.0,0.15463917525773196,0.5449999999999999
14,0.4897010624408722,0.808874468913574,0.5724310776942355,0.68032278088144,1.0,0.15463917525773196,0.5449999999999999
15,0.463050901889801,0.845606955070722,0.6086349924585218,0.68032278088144,1.0,0.15463917525773196,0.5449999999999999
16,0.44030073285102844,0.8697354078561377,0.6112665714058902,0.7040883977900552,1.0,0.13402061855670103,0.5599999999999999
17,0.4511025846004486,0.8876752091994679,0.6172542735042734,0.717032967032967,1.0,0.12371134020618557,0.565
18,0.43289482593536377,0.8987413535108051,0.6172542735042734,0.717032967032967,1.0,0.12371134020618557,0.565
19,0.42527344822883606,0.9109455821765974,0.6279627235509588,0.7308149204086481,1.0,0.1134020618556701,0.5599999999999999
20,0.4191109538078308,0.9246053501253839,0.6322362278244631,0.7308149204086481,1.0,0.1134020618556701,0.5599999999999999
21,0.3852868378162384,0.9327307731975923,0.6368149824032177,0.7308149204086481,1.0,0.1134020618556701,0.5599999999999999
22,0.39356088638305664,0.9402640636133023,0.6368149824032177,0.7308149204086481,1.0,0.1134020618556701,0.5599999999999999
23,0.4060806334018707,0.9526451230934134,0.6835321541203894,0.7308149204086481,1.0,0.1134020618556701,0.5599999999999999
24,0.36440786719322205,0.9612787501030828,0.6409632034632035,0.7308149204086481,1.0,0.1134020618556701,0.5599999999999999
25,0.35241448879241943,0.9635377457796285,0.6511904761904761,0.7455533596837944,1.0,0.10309278350515463,0.57
26,0.3429252505302429,0.9656934507775179,0.6557692307692308,0.7613899613899614,1.0,0.09278350515463918,0.57
27,0.32954975962638855,0.967215054615532,0.6557692307692308,0.7613899613899614,1.0,0.09278350515463918,0.565
28,0.33513006567955017,0.9689755695684235,0.6724358974358974,0.7613899613899614,1.0,0.09278350515463918,0.565
29,0.32452893257141113,0.9700846660192076,0.6771978021978021,0.7613899613899614,1.0,0.09278350515463918,0.5599999999999999
30,0.3391910493373871,0.9715807716144372,0.6771978021978021,0.778494623655914,1.0,0.08247422680412371,0.57
31,0.32641318440437317,0.9727990935224143,0.6771978021978021,0.778494623655914,1.0,0.08247422680412371,0.565
32,0.31081026792526245,0.9737909977414058,0.6771978021978021,0.778494623655914,1.0,0.08247422680412371,0.5599999999999999
33,0.30346882343292236,0.9747641260583312,0.6825396825396824,0.778494623655914,1.0,0.08247422680412371,0.5549999999999999
34,0.3069264888763428,0.9760017628676559,0.6825396825396824,0.778494623655914,1.0,0.08247422680412371,0.5549999999999999
35,0.3069145083427429,0.9769143560216285,0.6825396825396824,0.778494623655914,1.0,0.08247422680412371,0.5499999999999999
36,0.306198388338089,0.9777514374808987,0.6825396825396824,0.778494623655914,1.0,0.08247422680412371,0.5499999999999999
37,0.29826563596725464,0.9789090487416904,0.6825396825396824,0.778494623655914,1.0,0.08247422680412371,0.5499999999999999
38,0.2843090295791626,0.9793095453574939,0.6944444444444443,0.7455533596837944,1.0,0.10309278350515463,0.5449999999999999
39,0.28628870844841003,0.9800836976953993,0.6944444444444443,0.778494623655914,1.0,0.08247422680412371,0.5449999999999999
40,0.27252891659736633,0.9800836976953993,0.6944444444444443,0.778494623655914,1.0,0.08247422680412371,0.5449999999999999
41,0.2809958755970001,0.9800836976953993,0.6818394024276376,0.7308149204086481,1.0,0.1134020618556701,0.5399999999999999
42,0.2783624529838562,0.9804581316905229,0.6818394024276376,0.7308149204086481,1.0,0.1134020618556701,0.5399999999999999
43,0.2697485089302063,0.9809118521986899,0.7235060690943044,0.7308149204086481,1.0,0.1134020618556701,0.5399999999999999
44,0.2586876153945923,0.9809118521986899,0.7235060690943044,0.717032967032967,1.0,0.12371134020618557,0.5299999999999999
45,0.2675565183162689,0.9809118521986899,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5299999999999999
46,0.27359694242477417,0.9812627405842843,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5299999999999999
47,0.2660503387451172,0.9818970985465462,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5299999999999999
48,0.2633582651615143,0.9818970985465462,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5299999999999999
49,0.2689386010169983,0.9818970985465462,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5299999999999999
50,0.2633121609687805,0.9818970985465462,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5299999999999999
51,0.2707287073135376,0.9818970985465462,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5299999999999999
52,0.26969096064567566,0.982241009038109,0.7202380952380951,0.7565011820330969,0.8333333333333334,0.07216494845360824,0.5599999999999999
53,0.26985079050064087,0.982241009038109,0.7202380952380951,0.7565011820330969,0.8333333333333334,0.07216494845360824,0.5599999999999999
54,0.2614939510822296,0.982241009038109,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5249999999999999
55,0.24957190454006195,0.982241009038109,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5249999999999999
56,0.27784597873687744,0.982578212885165,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5249999999999999
57,0.2631950080394745,0.9829089658760165,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5249999999999999
58,0.2553047835826874,0.9829089658760165,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5249999999999999
59,0.2464936375617981,0.9831727684009836,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5249999999999999
60,0.2609929144382477,0.9829089658760165,0.7202380952380951,0.717032967032967,1.0,0.12371134020618557,0.5249999999999999
